sampleid	genus	species_river	species_waveform	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
90	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	88	0	BP	mlCOIintF+BR2	no	2	mengono	2	90
92	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	80	0	BP	mlCOIintF+BR2	no	2	mengono	2	92
102	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	102	0	TP	mlCOIintF+BR2	no	2	iboundji	2	102
152	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	103	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	152
242	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	NA	271	0	BP	mlCOIintF+BR2	yes	2	above_falls	2	242
318	Paramormyrops	P. kingsleyae bambomo_3rivers	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	male	66	0	BP	mlCOIintF+BR2	no	2	bambomo	2	318
320	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	129	1	BP	mlCOIintF+BR2	yes	2	bambomo	2	320
324	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	96	1	BP	mlCOIintF+BR2	yes	2	bambomo	2	324
435	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	NA	85	NA	BP	mlCOIintF+BR2	no	2	bale	2	435
451	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	63	NA	TP	mlCOIintF+BR2	yes	2	bale	2	451
478	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	38	NA	TP	mlCOIintF+BR2	yes	2	bale	2	478
4	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	106	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	4
101	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	106	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	101
112	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	78	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	112
118	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	100	0	BP	mlCOIintF+BR2	yes	2	mengono	2	118
129	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	84	0	TP	mlCOIintF+BR2	no	2	iboundji	2	129
119	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	94	0	BP	mlCOIintF+BR2	no	2	mengono	2	119
150	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	105	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	150
156	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	72	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	156
219	Paramormyrops	P. ngounensis below_falls	P. ngounensis BP	P. ngounensis	2019-015	below_falls	NA	150	0	BP	mlCOIintF+BR2	yes	2	below_falls	2	219
224	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	85	0	BP	mlCOIintF+BR2	no	2	bambomo	2	224
243	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	160	0	BP	mlCOIintF+BR2	yes	2	above_falls	2	243
262	Mormyrops	Mormyrops zanchlirostris bengue	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-020	bengue	male	78	0	BP	mlCOIintF+BR2	yes	2	bengue	2	262
362	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	80	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	362
411	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	96	0	TP	mlCOIintF+BR2	yes	2	apassa	2	411
433	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	92	0	TP	mlCOIintF+BR2	yes	2	bale	2	433
434	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	Male	92	NA	TP	mlCOIintF+BR2	yes	2	bale	2	434
440	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	male	59	NA	BP	mlCOIintF+BR2	yes	2	bale	2	440
464	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	NA	68	NA	TP	mlCOIintF+BR2	yes	2	bale	2	464
472	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	male	208	0	BP	mlCOIintF+BR2	yes	2	bale	2	472
484	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	36	0	TP	mlCOIintF+BR2	yes	2	bale	2	484
507	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	NA	90	NA	BP	mlCOIintF+BR2	no	2	bale	2	507
117	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	95	0	BP	mlCOIintF+BR2	no	2	mengono	2	117
430	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	NA	183	NA	BP	mlCOIintF+BR2	yes	2	bale	2	430
483	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	36	0	TP	mlCOIintF+BR2	yes	2	bale	2	483
62	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	84	0	TP	mlCOIintF+BR2	yes	2	iboundji	2	62
109	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	86	0	TP	mlCOIintF+BR2	no	2	iboundji	2	109
261	Mormyrops	Mormyrops zanchlirostris bengue	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-020	bengue	male	99	0	BP	mlCOIintF+BR2	yes	2	bengue	2	261
278	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	0	TP	mlCOIintF+BR2	yes	2	apassa	2	278
279	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	90	0	TP	mlCOIintF+BR2	yes	2	apassa	2	279
321	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	111	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	321
325	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	87	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	325
415	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	62	0	TP	mlCOIintF+BR2	yes	2	apassa	2	415
457	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	juvenile	70	0	TP	mlCOIintF+BR2	yes	2	bale	2	457
458	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	76	0	TP	mlCOIintF+BR2	yes	2	bale	2	458
470	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	M. zanchlirostrus	2019-026	bale	male	131	0	BP	mlCOIintF+BR2	no	2	bale	2	470
524	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-029	bale	juvenile	46	NA	TP	mlCOIintF+BR2	yes	2	bale	2	524
527	Paramormyrops	P. tenuicauda bale	P. tenuicauda BP	P. tenuicauda	2019-029	bale	juvenile	20	NA	BP	mlCOIintF+BR2	yes	2	bale	2	527
61	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	91	0	TP	mlCOIintF+BR2	no	2	iboundji	2	61
82	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	135	0	BP	mlCOIintF+BR2	no	2	mengono	2	82
84	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	95	0	BP	mlCOIintF+BR2	no	2	mengono	2	84
104	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	92	0	TP	mlCOIintF+BR2	no	2	iboundji	2	104
107	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	95	0	TP	mlCOIintF+BR2	no	2	iboundji	2	107
126	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	95	0	TP	mlCOIintF+BR2	no	2	iboundji	2	126
274	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	104	1	TP	mlCOIintF+BR2	yes	2	apassa	2	274
463	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	male	58	NA	TP	mlCOIintF+BR2	yes	2	bale	2	463
282	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	79	1	TP	mlCOIintF+BR2	no	2	apassa	2	282
327	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	78	0	BP	mlCOIintF+BR2	yes	2	bambomo	2	327
442	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	48	NA	BP	mlCOIintF+BR2	yes	2	bale	2	442
476	Petrocephalus	Petrocephalus simus bale	Petrocephalus simus TP	Petrocephalus simus	2019-026	bale	juvenile	41	NA	TP	mlCOIintF+BR2	yes	2	bale	2	476
506	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	NA	35	NA	BP	mlCOIintF+BR2	yes	2	bale	2	506
110	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	83	0	TP	mlCOIintF+BR2	no	2	iboundji	2	110
115	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	131	0	BP	mlCOIintF+BR2	yes	2	mengono	2	115
280	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	86	1	TP	mlCOIintF+BR2	no	2	apassa	2	280
BLANK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	1	blank	2	BLANK1
BLANK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	1	blank	2	BLANK2
BLANK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	1	blank	2	BLANK3
BLANK4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	1	blank	2	BLANK4
BLANK5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK5
BLANK6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK6
BLANK7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK7
BLANK8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK8
BLANK9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK9
BLANK10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK10
BLANK11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK11
BLANK12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mlCOIintF+BR2	NA	2	blank	2	BLANK12
503	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	NA	50	0	TP	mlCOIintF+BR2	NA	6	bale	3	503
78	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	95	1	BP	mlCOIintF+BR2	NA	6	mengono	3	78
155	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	75	0	BP	mlCOIintF+BR2	NA	6	bambomo	3	155
151	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	male	93	0	BP	mlCOIintF+BR2	NA	6	bambomo	3	151
319	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-022	bambomo_3rivers	juv	65	0	BP	mlCOIintF+BR2	NA	6	bambomo	3	319
419	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	juv	57	0	TP	mlCOIintF+BR2	NA	6	apassa	3	419
284	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	70	1	TP	mlCOIintF+BR2	NA	6	apassa	3	284
281	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	female	80	0	TP	mlCOIintF+BR2	NA	6	apassa	3	281
239	Paramormyrops 	P. offouensis above_falls	P. offouensis NA	P. offouensis	2019-019	above_falls	male	132	0	NA	mlCOIintF+BR2	NA	6	above_falls	3	239
256	Ivindomyrus	I. marchei below_falls	I. marchei NA	I. marchei	2019-015	below_falls	male	142	0	NA	mlCOIintF+BR2	NA	6	below_falls	3	256
259	Mormyrops 	M. zanchlirostrus below_falls	M. zanchlirostrus NA	M. zanchlirostrus	2019-015	below_falls	male	230	0	NA	mlCOIintF+BR2	NA	6	below_falls	3	259
520	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-029	bale	juvenile	79	NA	TP	mlCOIintF+BR2	NA	6	bale	3	520
105rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	86	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	105rep
130rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	74	0	BP	mlCOIintF+BR2	NA	6	mengono	3	130rep
108rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	90	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	108rep
97rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	136	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	97rep
4rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	106	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	4rep
107rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	95	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	107rep
104rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	92	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	104rep
92rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	juvenile	80	0	BP	mlCOIintF+BR2	NA	6	mengono	3	92rep
127rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	100	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	127rep
125rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	117	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	125rep
126rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	95	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	126rep
102rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	102	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	102rep
118rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	100	0	BP	mlCOIintF+BR2	NA	6	mengono	3	118rep
115rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	131	0	BP	mlCOIintF+BR2	NA	6	mengono	3	115rep
524rep	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-029	bale	juvenile	46	NA	TP	mlCOIintF+BR2	NA	6	bale	3	524rep
123rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	80	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	123rep
112rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	78	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	112rep
81rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	90	0	BP	mlCOIintF+BR2	NA	6	mengono	3	81rep
483rep	Petrocephalus	P. simus bale	P. simus TP	P. simus	2019-026	bale	juvenile	36	0	TP	mlCOIintF+BR2	NA	6	bale	3	483rep
122rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	134	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	122rep
470rep	Mormyrops	M. zanchlirostris bale	M. zanchlirostris BP	M. zanchlirostris	2019-026	bale	male	131	0	BP	mlCOIintF+BR2	NA	6	bale	3	470rep
84rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	95	0	BP	mlCOIintF+BR2	NA	6	mengono	3	84rep
442rep	Marcusenius	M. moori bale	M. moori BP	M. moori	2019-026	bale	juvenile	48	NA	BP	mlCOIintF+BR2	NA	6	bale	3	442rep
109rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	86	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	109rep
463rep	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	male	58	NA	TP	mlCOIintF+BR2	NA	6	bale	3	463rep
485rep	Petrocephalus	P. simus bale	P. simus TP	P. simus	2019-026	bale	juvenile	39	0	TP	mlCOIintF+BR2	NA	6	bale	3	485rep
98rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	122	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	98rep
440rep	Marcusenius	M. moori bale	M. moori BP	M. moori	2019-026	bale	male	59	NA	BP	mlCOIintF+BR2	NA	6	bale	3	440rep
464rep	Paramormyrops	P. magnostipes bale	P. magnostipes TP	P. magnostipes	2019-026	bale	NA	68	NA	TP	mlCOIintF+BR2	NA	6	bale	3	464rep
80rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	115	0	BP	mlCOIintF+BR2	NA	6	mengono	3	80rep
12rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	117	0	BP	mlCOIintF+BR2	NA	6	mengono	3	12rep
90rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	88	0	BP	mlCOIintF+BR2	NA	6	mengono	3	90rep
111rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	90	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	111rep
119rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	female	94	0	BP	mlCOIintF+BR2	NA	6	mengono	3	119rep
106rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	105	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	106rep
129rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	84	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	129rep
100rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	106	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	100rep
99rep	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	111	0	TP	mlCOIintF+BR2	NA	6	iboundji	3	99rep
117rep	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	95	0	BP	mlCOIintF+BR2	NA	6	mengono	3	117rep